File,Dot_Index,Centroid_X,Centroid_Y,BBox_W_px,BBox_H_px,BBox_Diam_px,BBox_Diam_mm,Body_Major_px,Body_Diam_mm,Area_px,Circularity_Raw,Circularity_Body,Grid_Row,Grid_Col,Offset_X_mm,Offset_Y_mm,Distance_Error_mm,Merged_Flag
capture_0002.pgm,30,1176,214,21,21,21,0.2054,21.0,0.2054,317,1.000,1.000,2,11,-0.3094,0.2675,0.4090,NO
capture_0002.pgm,31,55,237,22,22,22,0.2152,22.0,0.2152,360,1.000,1.000,2,0,-0.2673,0.0676,0.2757,NO
capture_0002.pgm,32,872,253,23,22,23,0.2249,23.0,0.2249,382,1.000,1.000,2,8,-0.2812,0.2295,0.3630,NO
capture_0002.pgm,33,665,254,21,22,22,0.2152,22.0,0.2152,338,1.000,1.000,2,6,-0.3046,0.2379,0.3865,NO
capture_0002.pgm,34,1079,256,23,23,23,0.2249,23.0,0.2249,388,1.000,1.000,2,10,-0.2578,0.2603,0.3663,NO
capture_0002.pgm,35,256,258,24,24,24,0.2347,24.0,0.2347,424,1.000,1.000,2,2,-0.3025,0.2743,0.4084,NO
capture_0002.pgm,36,459,258,24,23,24,0.2347,24.0,0.2347,421,1.000,1.000,2,4,-0.3182,0.2757,0.4211,NO
capture_0002.pgm,37,767,297,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,3,7,-0.3079,0.2256,0.3817,NO
capture_0002.pgm,38,973,298,21,22,22,0.2152,22.0,0.2152,338,1.000,1.000,3,9,-0.2942,0.2367,0.3777,NO
capture_0002.pgm,39,560,300,23,24,24,0.2347,24.0,0.2347,407,1.000,1.000,3,5,-0.3313,0.2536,0.4172,NO
capture_0002.pgm,40,360,301,22,23,23,0.2249,23.0,0.2249,375,1.000,1.000,3,3,-0.2862,0.2620,0.3880,NO
capture_0002.pgm,41,155,305,22,21,22,0.2152,22.0,0.2152,338,1.000,1.000,3,1,-0.2901,0.2997,0.4171,NO
capture_0002.pgm,42,1182,306,23,24,24,0.2347,24.0,0.2347,414,1.000,1.000,3,11,-0.2513,0.3164,0.4040,NO
capture_0002.pgm,43,52,321,24,22,24,0.2347,24.0,0.2347,397,1.000,1.000,3,0,-0.2972,0.0382,0.2996,NO
capture_0002.pgm,44,870,340,22,22,22,0.2152,22.0,0.2152,360,1.000,1.000,3,8,-0.3013,0.2295,0.3788,NO
capture_0002.pgm,45,462,341,23,22,23,0.2249,23.0,0.2249,375,1.000,1.000,3,4,-0.2895,0.2366,0.3739,NO
capture_0002.pgm,46,664,341,22,22,22,0.2152,22.0,0.2152,360,1.000,1.000,3,6,-0.3150,0.2379,0.3948,NO
capture_0002.pgm,47,255,342,23,22,23,0.2249,23.0,0.2249,375,1.000,1.000,3,2,-0.3129,0.2450,0.3974,NO
capture_0002.pgm,48,1076,343,23,23,23,0.2249,23.0,0.2249,391,1.000,1.000,3,10,-0.2877,0.2603,0.3880,NO
capture_0002.pgm,49,1177,385,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,4,11,-0.3007,0.2381,0.3836,NO
capture_0002.pgm,50,767,386,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,4,7,-0.3085,0.2452,0.3940,NO
capture_0002.pgm,51,559,387,23,23,23,0.2249,23.0,0.2249,383,1.000,1.000,4,5,-0.3417,0.2536,0.4255,NO
capture_0002.pgm,52,365,389,23,23,23,0.2249,23.0,0.2249,398,1.000,1.000,4,3,-0.2379,0.2717,0.3612,NO
capture_0002.pgm,53,975,390,23,23,23,0.2249,23.0,0.2249,398,1.000,1.000,4,9,-0.2753,0.2856,0.3967,NO
capture_0002.pgm,54,155,391,22,22,22,0.2152,22.0,0.2152,360,1.000,1.000,4,1,-0.2907,0.2899,0.4106,NO
capture_0002.pgm,55,56,410,23,23,23,0.2249,23.0,0.2249,405,1.000,1.000,4,0,-0.2587,0.0578,0.2650,NO
capture_0002.pgm,56,665,427,22,22,22,0.2152,22.0,0.2152,360,1.000,1.000,4,6,-0.3058,0.2282,0.3815,NO
capture_0002.pgm,57,869,427,23,22,23,0.2249,23.0,0.2249,375,1.000,1.000,4,8,-0.3117,0.2295,0.3871,NO
capture_0002.pgm,58,255,430,24,23,24,0.2347,24.0,0.2347,414,1.000,1.000,4,2,-0.3135,0.2548,0.4040,NO
capture_0002.pgm,59,1076,429,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,4,10,-0.2883,0.2505,0.3819,NO
capture_0002.pgm,60,465,432,23,23,23,0.2249,23.0,0.2249,398,1.000,1.000,4,4,-0.2607,0.2757,0.3795,NO
capture_0002.pgm,61,563,473,22,23,23,0.2249,23.0,0.2249,375,1.000,1.000,5,5,-0.3031,0.2438,0.3890,NO
capture_0002.pgm,62,765,473,23,24,24,0.2347,24.0,0.2347,403,1.000,1.000,5,7,-0.3286,0.2452,0.4100,NO
capture_0002.pgm,63,973,472,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,5,9,-0.2954,0.2367,0.3786,NO
capture_0002.pgm,64,360,475,23,22,23,0.2249,23.0,0.2249,368,1.000,1.000,5,3,-0.2874,0.2620,0.3889,NO
capture_0002.pgm,65,157,478,23,23,23,0.2249,23.0,0.2249,398,1.000,1.000,5,1,-0.2717,0.2899,0.3973,NO
capture_0002.pgm,66,1176,479,23,22,23,0.2249,23.0,0.2249,375,1.000,1.000,5,11,-0.3111,0.3066,0.4368,NO
capture_0002.pgm,67,57,495,24,23,24,0.2347,24.0,0.2347,414,1.000,1.000,5,0,-0.2495,0.0382,0.2524,NO
capture_0002.pgm,68,665,516,23,23,23,0.2249,23.0,0.2249,377,1.000,1.000,5,6,-0.3064,0.2477,0.3940,NO
capture_0002.pgm,69,463,517,23,24,24,0.2347,24.0,0.2347,407,1.000,1.000,5,4,-0.2809,0.2561,0.3801,NO
capture_0002.pgm,70,871,520,23,23,23,0.2249,23.0,0.2249,391,1.000,1.000,5,8,-0.2927,0.2882,0.4108,NO
capture_0002.pgm,71,253,521,23,23,23,0.2249,23.0,0.2249,388,1.000,1.000,5,2,-0.3336,0.2939,0.4446,NO
capture_0002.pgm,72,1077,522,23,23,23,0.2249,23.0,0.2249,391,1.000,1.000,5,10,-0.2791,0.3092,0.4165,NO
capture_0002.pgm,73,563,559,22,23,23,0.2249,23.0,0.2249,375,1.000,1.000,6,5,-0.3037,0.2340,0.3834,NO
capture_0002.pgm,74,363,559,25,23,25,0.2445,25.0,0.2445,420,1.000,1.000,6,3,-0.2587,0.2326,0.3479,NO
capture_0002.pgm,75,765,562,24,22,24,0.2347,24.0,0.2347,390,1.000,1.000,6,7,-0.3292,0.2647,0.4224,NO
capture_0002.pgm,76,152,563,23,23,23,0.2249,23.0,0.2249,388,1.000,1.000,6,1,-0.3212,0.2704,0.4198,NO
capture_0002.pgm,77,971,565,22,24,24,0.2347,24.0,0.2347,397,1.000,1.000,6,9,-0.3156,0.2954,0.4323,NO
capture_0002.pgm,78,1176,564,24,22,24,0.2347,24.0,0.2347,390,1.000,1.000,6,11,-0.3117,0.2870,0.4237,NO
capture_0002.pgm,79,53,581,23,22,23,0.2249,23.0,0.2249,372,1.000,1.000,6,0,-0.2892,0.0284,0.2906,NO
capture_0002.pgm,80,868,599,24,23,24,0.2347,24.0,0.2347,411,1.000,1.000,6,8,-0.3227,0.2100,0.3850,NO
capture_0002.pgm,81,464,603,23,23,23,0.2249,23.0,0.2249,398,1.000,1.000,6,4,-0.2717,0.2464,0.3667,NO
capture_0002.pgm,82,663,604,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,6,6,-0.3265,0.2575,0.4158,NO
capture_0002.pgm,83,1077,606,22,23,23,0.2249,23.0,0.2249,375,1.000,1.000,6,10,-0.2797,0.2798,0.3956,NO
capture_0002.pgm,84,259,609,23,23,23,0.2249,23.0,0.2249,384,1.000,1.000,6,2,-0.2755,0.3037,0.4100,NO
capture_0002.pgm,85,153,647,22,23,23,0.2249,23.0,0.2249,375,1.000,1.000,7,1,-0.3120,0.2410,0.3943,NO
capture_0002.pgm,86,1175,647,22,23,23,0.2249,23.0,0.2249,375,1.000,1.000,7,11,-0.3221,0.2479,0.4064,NO
capture_0002.pgm,87,360,647,22,22,22,0.2152,22.0,0.2152,360,1.000,1.000,7,3,-0.2886,0.2424,0.3769,NO
capture_0002.pgm,88,768,649,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,7,7,-0.3004,0.2647,0.4004,NO
capture_0002.pgm,89,973,650,22,23,23,0.2249,23.0,0.2249,382,1.000,1.000,7,9,-0.2966,0.2759,0.4050,NO
capture_0002.pgm,90,562,652,22,22,22,0.2152,22.0,0.2152,360,1.000,1.000,7,5,-0.3141,0.2927,0.4293,NO
capture_0002.pgm,91,53,667,23,22,23,0.2249,23.0,0.2249,368,1.000,1.000,7,0,-0.2898,0.0187,0.2904,NO
capture_0002.pgm,92,465,690,24,24,24,0.2347,24.0,0.2347,424,1.000,1.000,7,4,-0.2625,0.2464,0.3600,NO
capture_0002.pgm,93,1074,690,23,22,23,0.2249,23.0,0.2249,375,1.000,1.000,7,10,-0.3096,0.2505,0.3982,NO
capture_0002.pgm,94,256,691,24,23,24,0.2347,24.0,0.2347,407,1.000,1.000,7,2,-0.3055,0.2548,0.3978,NO
capture_0002.pgm,95,673,692,24,23,24,0.2347,24.0,0.2347,414,1.000,1.000,7,6,-0.2293,0.2673,0.3522,NO
capture_0002.pgm,96,867,692,24,23,24,0.2347,24.0,0.2347,406,1.000,1.000,7,8,-0.3330,0.2687,0.4279,NO
capture_0002.pgm,97,1174,733,22,23,23,0.2249,23.0,0.2249,368,1.000,1.000,8,11,-0.3324,0.2381,0.4089,NO
capture_0002.pgm,98,767,734,22,23,23,0.2249,23.0,0.2249,368,1.000,1.000,8,7,-0.3108,0.2452,0.3958,NO
capture_0002.pgm,99,972,733,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,8,9,-0.3069,0.2368,0.3876,NO
capture_0002.pgm,100,152,735,22,22,22,0.2152,22.0,0.2152,360,1.000,1.000,8,1,-0.3224,0.2508,0.4084,NO
capture_0002.pgm,101,562,735,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,8,5,-0.3147,0.2536,0.4041,NO
capture_0002.pgm,102,356,740,22,22,22,0.2152,22.0,0.2152,360,1.000,1.000,8,3,-0.3283,0.3011,0.4454,NO
capture_0002.pgm,103,52,755,23,23,23,0.2249,23.0,0.2249,377,1.000,1.000,8,0,-0.3001,0.0284,0.3015,NO
capture_0002.pgm,104,866,774,24,23,24,0.2347,24.0,0.2347,407,1.000,1.000,8,8,-0.3434,0.2198,0.4077,NO
capture_0002.pgm,105,1074,776,22,22,22,0.2152,22.0,0.2152,360,1.000,1.000,8,10,-0.3102,0.2407,0.3926,NO
capture_0002.pgm,106,258,778,23,23,23,0.2249,23.0,0.2249,377,1.000,1.000,8,2,-0.2865,0.2548,0.3834,NO
capture_0002.pgm,107,461,777,22,22,22,0.2152,22.0,0.2152,360,1.000,1.000,8,4,-0.3022,0.2464,0.3899,NO
capture_0002.pgm,108,667,782,22,23,23,0.2249,23.0,0.2249,382,1.000,1.000,8,6,-0.2886,0.2966,0.4138,NO
capture_0002.pgm,109,767,822,23,22,23,0.2249,23.0,0.2249,368,1.000,1.000,9,7,-0.3114,0.2549,0.4024,NO
capture_0002.pgm,110,970,822,22,23,23,0.2249,23.0,0.2249,375,1.000,1.000,9,9,-0.3271,0.2563,0.4155,NO
capture_0002.pgm,111,1174,823,24,23,24,0.2347,24.0,0.2347,403,1.000,1.000,9,11,-0.3330,0.2675,0.4271,NO
capture_0002.pgm,112,153,824,22,24,24,0.2347,24.0,0.2347,397,1.000,1.000,9,1,-0.3132,0.2704,0.4137,NO
capture_0002.pgm,113,359,825,23,23,23,0.2249,23.0,0.2249,391,1.000,1.000,9,3,-0.2995,0.2815,0.4111,NO
capture_0002.pgm,114,562,829,23,23,23,0.2249,23.0,0.2249,405,1.000,1.000,9,5,-0.3152,0.3220,0.4506,NO
capture_0002.pgm,115,53,844,24,24,24,0.2347,24.0,0.2347,428,1.000,1.000,9,0,-0.2909,0.0480,0.2949,NO
capture_0002.pgm,116,871,862,22,23,23,0.2249,23.0,0.2249,382,1.000,1.000,9,8,-0.2951,0.2295,0.3738,NO
capture_0002.pgm,117,461,865,22,23,23,0.2249,23.0,0.2249,382,1.000,1.000,9,4,-0.3028,0.2561,0.3966,NO
capture_0002.pgm,118,254,865,24,23,24,0.2347,24.0,0.2347,407,1.000,1.000,9,2,-0.3262,0.2548,0.4139,NO
capture_0002.pgm,119,668,866,24,23,24,0.2347,24.0,0.2347,400,1.000,1.000,9,6,-0.2794,0.2673,0.3866,NO
capture_0002.pgm,120,1075,866,23,24,24,0.2347,24.0,0.2347,414,1.000,1.000,9,10,-0.3010,0.2700,0.4044,NO
capture_0002.pgm,121,971,907,23,24,24,0.2347,24.0,0.2347,411,1.000,1.000,10,9,-0.3179,0.2368,0.3964,NO
capture_0002.pgm,122,1175,908,24,23,24,0.2347,24.0,0.2347,421,1.000,1.000,10,11,-0.3238,0.2479,0.4078,NO
capture_0002.pgm,123,562,908,23,22,23,0.2249,23.0,0.2249,382,1.000,1.000,10,5,-0.3158,0.2438,0.3990,NO
capture_0002.pgm,124,358,915,22,22,22,0.2152,22.0,0.2152,360,1.000,1.000,10,3,-0.3099,0.3109,0.4389,NO
capture_0002.pgm,125,157,917,24,24,24,0.2347,24.0,0.2347,423,1.000,1.000,10,1,-0.2746,0.3291,0.4286,NO
capture_0002.pgm,126,768,917,23,22,23,0.2249,23.0,0.2249,375,1.000,1.000,10,7,-0.3022,0.3332,0.4498,NO
capture_0002.pgm,127,53,934,25,24,25,0.2445,25.0,0.2445,431,1.000,1.000,10,0,-0.2915,0.0773,0.3016,NO
capture_0002.pgm,128,257,951,23,24,24,0.2347,24.0,0.2347,411,1.000,1.000,10,2,-0.2974,0.2450,0.3853,NO
capture_0002.pgm,129,666,952,23,23,23,0.2249,23.0,0.2249,391,1.000,1.000,10,6,-0.2995,0.2575,0.3950,NO
capture_0002.pgm,130,869,952,24,24,24,0.2347,24.0,0.2347,421,1.000,1.000,10,8,-0.3152,0.2589,0.4079,NO
capture_0002.pgm,131,1076,953,23,24,24,0.2347,24.0,0.2347,414,1.000,1.000,10,10,-0.2918,0.2700,0.3976,NO
capture_0002.pgm,132,465,956,25,24,25,0.2445,25.0,0.2445,451,1.000,1.000,10,4,-0.2642,0.2953,0.3962,NO
capture_0002.pgm,133,562,995,22,22,22,0.2152,22.0,0.2152,360,1.000,1.000,11,5,-0.3164,0.2438,0.3994,NO
capture_0002.pgm,134,358,997,22,22,22,0.2152,22.0,0.2152,346,1.000,1.000,11,3,-0.3105,0.2620,0.4062,NO
capture_0002.pgm,135,972,998,24,24,24,0.2347,24.0,0.2347,438,1.000,1.000,11,9,-0.3087,0.2759,0.4140,NO
capture_0002.pgm,136,769,999,22,24,24,0.2347,24.0,0.2347,397,1.000,1.000,11,7,-0.2930,0.2843,0.4082,NO
capture_0002.pgm,137,1177,998,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,11,11,-0.3048,0.2772,0.4121,NO
capture_0002.pgm,138,153,1000,23,22,23,0.2249,23.0,0.2249,372,1.000,1.000,11,1,-0.3143,0.2899,0.4276,NO
capture_0002.pgm,SUMMARY,,,,,,,,,,,,,,,,,
capture_0002.pgm,Count,138,,,,,,,,,,,,,,,
capture_0002.pgm,Missed,0,,,,,,,,,,,,,,,
capture_0002.pgm,Mean,,,,,,,,0.2252,,,,,,,,
capture_0002.pgm,Median,,,,,,,,0.2249,,,,,,,,
capture_0002.pgm,StdDev,,,,,,,,0.0083,,,,,,,,
capture_0002.pgm,Min,,,,,,,,0.2054,,,,,,,,
capture_0002.pgm,Max,,,,,,,,0.2445,,,,,,,,
capture_0003.pgm,1,1074,11,23,23,23,0.2249,23.0,0.2249,384,1.000,1.000,-1,10,-0.3049,0.4167,0.5164,NO
capture_0003.pgm,2,253,14,25,24,25,0.2445,25.0,0.2445,449,1.000,1.000,0,2,-0.3307,-0.4103,0.5270,NO
capture_0003.pgm,3,668,14,24,24,24,0.2347,24.0,0.2347,431,1.000,1.000,0,6,-0.2741,-0.4075,0.4911,NO
capture_0003.pgm,4,1174,54,22,24,24,0.2347,24.0,0.2347,390,1.000,1.000,0,11,-0.3278,0.4044,0.5205,NO
capture_0003.pgm,5,562,56,22,24,24,0.2347,24.0,0.2347,397,1.000,1.000,0,5,-0.3100,0.4198,0.5219,NO
capture_0003.pgm,6,971,56,22,23,23,0.2249,23.0,0.2249,368,1.000,1.000,0,9,-0.3120,0.4226,0.5253,NO
capture_0003.pgm,7,152,57,23,23,23,0.2249,23.0,0.2249,398,1.000,1.000,1,1,-0.3183,-0.4240,0.5302,NO
capture_0003.pgm,8,766,59,24,23,24,0.2347,24.0,0.2347,403,1.000,1.000,1,7,-0.3165,-0.4003,0.5103,NO
capture_0003.pgm,9,354,60,23,23,23,0.2249,23.0,0.2249,390,1.000,1.000,1,3,-0.3438,-0.3933,0.5223,NO
capture_0003.pgm,10,52,79,23,22,23,0.2249,23.0,0.2249,375,1.000,1.000,0,0,-0.2954,0.2240,0.3708,NO
capture_0003.pgm,11,867,94,24,23,24,0.2347,24.0,0.2347,398,1.000,1.000,0,8,-0.3289,0.3762,0.4998,NO
capture_0003.pgm,12,458,97,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,0,4,-0.3269,0.4028,0.5188,NO
capture_0003.pgm,13,665,98,23,23,23,0.2249,23.0,0.2249,391,1.000,1.000,0,6,-0.3034,0.4140,0.5133,NO
capture_0003.pgm,14,252,98,24,22,24,0.2347,24.0,0.2347,390,1.000,1.000,0,2,-0.3405,0.4112,0.5339,NO
capture_0003.pgm,15,1074,99,22,24,24,0.2347,24.0,0.2347,390,1.000,1.000,1,10,-0.3061,-0.4243,0.5232,NO
capture_0003.pgm,16,563,141,21,21,21,0.2054,21.0,0.2054,317,1.000,1.000,1,5,-0.3008,0.4003,0.5007,NO
capture_0003.pgm,17,971,141,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,1,9,-0.3126,0.4030,0.5101,NO
capture_0003.pgm,18,1177,142,21,21,21,0.2054,21.0,0.2054,317,1.000,1.000,1,11,-0.2990,0.4142,0.5108,NO
capture_0003.pgm,19,767,145,23,24,24,0.2347,24.0,0.2347,407,1.000,1.000,2,7,-0.3073,-0.4101,0.5125,NO
capture_0003.pgm,20,151,146,23,22,23,0.2249,23.0,0.2249,375,1.000,1.000,2,1,-0.3286,-0.4044,0.5211,NO
capture_0003.pgm,21,355,150,23,24,24,0.2347,24.0,0.2347,406,1.000,1.000,2,3,-0.3346,-0.3640,0.4944,NO
capture_0003.pgm,22,51,166,22,21,22,0.2152,22.0,0.2152,338,1.000,1.000,1,0,-0.3058,0.2240,0.3791,NO
capture_0003.pgm,23,663,185,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,1,6,-0.3236,0.4140,0.5254,NO
capture_0003.pgm,24,873,185,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,1,8,-0.2708,0.4154,0.4959,NO
capture_0003.pgm,25,255,186,23,22,23,0.2249,23.0,0.2249,368,1.000,1.000,1,2,-0.3117,0.4210,0.5239,NO
capture_0003.pgm,26,460,186,21,22,22,0.2152,22.0,0.2152,338,1.000,1.000,1,4,-0.3079,0.4224,0.5227,NO
capture_0003.pgm,27,1075,187,23,23,23,0.2249,23.0,0.2249,391,1.000,1.000,2,10,-0.2969,-0.4146,0.5099,NO
capture_0003.pgm,28,968,227,22,21,22,0.2152,22.0,0.2152,338,1.000,1.000,2,9,-0.3426,0.3932,0.5215,NO
capture_0003.pgm,29,768,229,23,23,23,0.2249,23.0,0.2249,390,1.000,1.000,2,7,-0.2975,0.4114,0.5077,NO
capture_0003.pgm,30,1176,228,21,21,21,0.2054,21.0,0.2054,317,1.000,1.000,2,11,-0.3094,0.4044,0.5091,NO
capture_0003.pgm,31,563,230,22,23,23,0.2249,23.0,0.2249,375,1.000,1.000,2,5,-0.3014,0.4198,0.5168,NO
capture_0003.pgm,32,355,231,22,22,22,0.2152,22.0,0.2152,360,1.000,1.000,3,3,-0.3351,-0.4226,0.5394,NO
capture_0003.pgm,33,151,233,23,22,23,0.2249,23.0,0.2249,375,1.000,1.000,3,1,-0.3292,-0.4044,0.5215,NO
capture_0003.pgm,34,52,251,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,2,0,-0.2966,0.2045,0.3603,NO
capture_0003.pgm,35,1073,270,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,2,10,-0.3165,0.3972,0.5078,NO
capture_0003.pgm,36,255,272,23,22,23,0.2249,23.0,0.2249,375,1.000,1.000,2,2,-0.3123,0.4112,0.5164,NO
capture_0003.pgm,37,459,272,23,22,23,0.2249,23.0,0.2249,375,1.000,1.000,2,4,-0.3182,0.4126,0.5211,NO
capture_0003.pgm,38,874,272,22,22,22,0.2152,22.0,0.2152,360,1.000,1.000,2,8,-0.2616,0.4154,0.4909,NO
capture_0003.pgm,39,663,275,23,23,23,0.2249,23.0,0.2249,388,1.000,1.000,3,6,-0.3248,-0.4075,0.5211,NO
capture_0003.pgm,40,768,315,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,3,7,-0.2981,0.4016,0.5002,NO
capture_0003.pgm,41,972,316,23,23,23,0.2249,23.0,0.2249,388,1.000,1.000,3,9,-0.3040,0.4128,0.5127,NO
capture_0003.pgm,42,1176,316,22,23,23,0.2249,23.0,0.2249,372,1.000,1.000,3,11,-0.3099,0.4142,0.5173,NO
capture_0003.pgm,43,152,319,24,24,24,0.2347,24.0,0.2347,422,1.000,1.000,4,1,-0.3200,-0.4142,0.5234,NO
capture_0003.pgm,44,356,319,23,22,23,0.2249,23.0,0.2249,375,1.000,1.000,4,3,-0.3259,-0.4129,0.5260,NO
capture_0003.pgm,45,570,324,24,24,24,0.2347,24.0,0.2347,428,1.000,1.000,4,5,-0.2341,-0.3626,0.4316,NO
capture_0003.pgm,46,53,338,24,22,24,0.2347,24.0,0.2347,387,1.000,1.000,3,0,-0.2874,0.2045,0.3527,NO
capture_0003.pgm,47,458,356,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,3,4,-0.3286,0.3833,0.5049,NO
capture_0003.pgm,48,1074,358,23,22,23,0.2249,23.0,0.2249,368,1.000,1.000,3,10,-0.3073,0.4070,0.5099,NO
capture_0003.pgm,49,665,360,23,23,23,0.2249,23.0,0.2249,391,1.000,1.000,3,6,-0.3052,0.4238,0.5222,NO
capture_0003.pgm,50,870,360,23,23,23,0.2249,23.0,0.2249,398,1.000,1.000,3,8,-0.3013,0.4251,0.5211,NO
capture_0003.pgm,51,254,360,23,23,23,0.2249,23.0,0.2249,391,1.000,1.000,3,2,-0.3227,0.4210,0.5305,NO
capture_0003.pgm,52,1174,402,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,4,11,-0.3301,0.4044,0.5220,NO
capture_0003.pgm,53,972,403,21,21,21,0.2054,21.0,0.2054,317,1.000,1.000,4,9,-0.3046,0.4128,0.5130,NO
capture_0003.pgm,54,768,405,22,22,22,0.2152,22.0,0.2152,353,1.000,1.000,5,7,-0.2993,-0.4199,0.5156,NO
capture_0003.pgm,55,561,407,23,22,23,0.2249,23.0,0.2249,375,1.000,1.000,5,5,-0.3227,-0.4017,0.5152,NO
